legal_dong,area_m2,contract_date,listing_type,deposit,monthly_rent,building_type,floor,source_note
망원동,39.1,2025-04-10,전세,240000000,0,빌라,3,국토부 실거래가 mock
망원동,40.2,2025-03-15,전세,245000000,0,빌라,4,국토부 실거래가 mock
망원동,38.8,2025-01-20,전세,250000000,0,빌라,2,국토부 실거래가 mock
망원동,52.0,2025-02-11,전세,270000000,0,빌라,3,국토부 실거래가 mock
망원동,30.1,2025-05-01,전세,230000000,0,빌라,1,국토부 실거래가 mock
망원동,39.4,2024-10-01,전세,235000000,0,빌라,4,국토부 실거래가 mock
망원동,41.0,2024-08-25,전세,255000000,0,빌라,5,국토부 실거래가 mock
망원동,37.5,2024-06-30,전세,242000000,0,빌라,2,국토부 실거래가 mock
화곡동,38.0,2025-04-10,전세,215000000,0,빌라,3,국토부 실거래가 mock
화곡동,37.5,2025-03-18,전세,220000000,0,빌라,2,국토부 실거래가 mock
화곡동,39.2,2025-02-14,전세,225000000,0,빌라,4,국토부 실거래가 mock
화곡동,28.0,2025-04-02,전세,200000000,0,빌라,2,국토부 실거래가 mock
화곡동,45.5,2025-03-21,전세,205000000,0,빌라,1,국토부 실거래가 mock
화곡동,50.0,2025-02-20,전세,230000000,0,빌라,5,국토부 실거래가 mock
화곡동,52.0,2025-01-15,전세,240000000,0,빌라,4,국토부 실거래가 mock
화곡동,25.0,2025-01-02,전세,245000000,0,빌라,3,국토부 실거래가 mock
화곡동,44.5,2024-12-20,전세,250000000,0,빌라,2,국토부 실거래가 mock
화곡동,53.0,2024-12-05,전세,255000000,0,빌라,3,국토부 실거래가 mock
화곡동,26.5,2024-11-28,전세,260000000,0,빌라,4,국토부 실거래가 mock
화곡동,54.0,2024-11-20,전세,270000000,0,빌라,5,국토부 실거래가 mock
화곡동,38.3,2024-10-10,전세,210000000,0,빌라,2,국토부 실거래가 mock
화곡동,39.8,2024-09-18,전세,230000000,0,빌라,3,국토부 실거래가 mock
화곡동,36.9,2024-08-22,전세,235000000,0,빌라,4,국토부 실거래가 mock
화곡동,41.2,2024-06-15,전세,240000000,0,빌라,5,국토부 실거래가 mock
신길동,24.0,2025-04-11,월세,30000000,800000,오피스텔,8,국토부 실거래가 mock
신길동,24.5,2025-03-12,월세,30000000,850000,오피스텔,10,국토부 실거래가 mock
신길동,23.8,2025-01-19,월세,30000000,900000,오피스텔,12,국토부 실거래가 mock
신길동,40.0,2025-02-28,월세,50000000,1000000,오피스텔,7,국토부 실거래가 mock
신길동,18.0,2024-12-30,월세,20000000,700000,오피스텔,5,국토부 실거래가 mock
신길동,24.2,2024-10-20,월세,30000000,780000,오피스텔,9,국토부 실거래가 mock
신길동,25.1,2024-08-15,월세,30000000,920000,오피스텔,11,국토부 실거래가 mock
